well_name,timestamp,gas_prod,oil_prod,water_prod,tubing_pressure,casing_pressure,line_pressure
WL01,2023-07-17 00:00:00,256.8,0.0,6.04,101.75,131.74,96.71
WL01,2023-07-16 00:00:00,256.75,0.0,6.07,125.62,134.09,96.73
WL01,2023-07-15 00:00:00,259.61,0.0,5.31,100.39,132.61,96.3
WL01,2023-07-14 00:00:00,258.18,0.0,5.0,123.77,140.13,109.79
WL01,2023-07-13 00:00:00,253.39,0.0,5.18,128.44,133.59,105.74
WL01,2023-07-12 00:00:00,259.11,0.0,5.04,108.76,136.68,101.9
WL01,2023-07-11 00:00:00,252.59,0.0,4.97,106.05,139.51,103.62
WL01,2023-07-10 00:00:00,258.18,0.0,5.17,112.08,131.87,102.82
WL01,2023-07-09 00:00:00,259.31,0.0,4.73,108.27,135.07,102.68
WL01,2023-07-08 00:00:00,257.16,0.0,3.38,133.12,135.32,103.21
WL01,2023-07-07 00:00:00,226.22,0.0,3.35,137.92,159.99,103.25
WL01,2023-07-06 00:00:00,250.93,0.0,4.77,118.97,133.96,103.05
WL01,2023-07-05 00:00:00,253.28,0.0,4.68,109.25,134.58,104.98
WL01,2023-07-04 00:00:00,243.78,0.0,4.53,106.55,132.48,104.43
WL01,2023-07-03 00:00:00,251.89,0.0,4.56,106.91,134.83,101.95
WL01,2023-07-02 00:00:00,254.91,0.0,4.55,103.96,133.59,99.4
WL01,2023-07-01 00:00:00,252.24,0.0,5.48,111.96,131.13,98.5
WL01,2023-06-30 00:00:00,251.81,0.0,5.43,103.84,135.07,99.92
WL01,2023-06-29 00:00:00,245.04,0.0,5.49,108.88,131.25,97.82
WL01,2023-06-28 00:00:00,251.64,0.0,4.61,106.18,129.03,96.35
WL01,2023-06-27 00:00:00,253.47,0.0,4.6,102.85,130.14,94.84
WL01,2023-06-26 00:00:00,248.97,0.0,5.68,108.76,131.5,95.51
WL01,2023-06-25 00:00:00,252.1,0.0,5.62,108.27,126.81,93.18
WL01,2023-06-24 00:00:00,260.05,0.0,5.42,98.67,130.51,94.09
WL01,2023-06-23 00:00:00,246.04,0.0,5.09,111.96,129.89,92.89
WL01,2023-06-22 00:00:00,238.61,0.0,4.79,102.24,146.18,96.72
WL01,2023-06-21 00:00:00,245.69,0.0,5.77,100.27,135.32,97.02
WL01,2023-06-20 00:00:00,247.27,0.0,5.56,98.67,129.28,96.22
WL01,2023-06-19 00:00:00,247.94,0.0,5.73,100.02,129.52,95.99
WL01,2023-06-18 00:00:00,248.24,0.0,5.54,99.53,130.14,95.63
WL01,2023-06-17 00:00:00,249.94,0.0,4.48,98.3,128.41,94.75
WL01,2023-06-16 00:00:00,275.17,0.0,1.09,105.07,131.99,95.25
WL01,2023-06-15 00:00:00,243.5,0.0,5.58,105.68,237.46,93.93
WL01,2023-06-14 00:00:00,230.55,0.0,6.14,101.62,129.77,95.67
WL01,2023-06-13 00:00:00,238.25,0.0,5.61,119.83,130.39,96.76
WL01,2023-06-12 00:00:00,244.88,0.0,5.15,134.72,130.39,97.57
WL01,2023-06-11 00:00:00,246.58,0.0,5.62,101.62,128.04,98.12
WL01,2023-06-10 00:00:00,264.78,0.0,4.75,101.75,129.15,97.46
WL01,2023-06-09 00:00:00,237.91,0.0,4.82,102.36,131.62,97.58
WL01,2023-06-08 00:00:00,246.65,0.0,5.55,111.84,125.58,95.45
WL01,2023-06-07 00:00:00,249.91,0.0,5.21,101.01,129.52,94.9
WL01,2023-06-06 00:00:00,245.5,0.0,5.84,100.89,127.92,95.7
WL01,2023-06-05 00:00:00,247.51,0.0,5.55,106.05,130.14,94.48
WL01,2023-06-04 00:00:00,246.61,0.0,5.69,104.08,126.07,94.69
WL01,2023-06-03 00:00:00,240.49,0.0,6.55,101.5,128.91,94.36
WL01,2023-06-02 00:00:00,240.45,0.0,5.93,101.38,127.43,93.88
WL01,2023-06-01 00:00:00,230.89,0.0,6.37,109.25,128.78,98.24
WL01,2023-05-31 00:00:00,251.95,0.0,5.77,105.32,127.8,96.35
WL01,2023-05-30 00:00:00,280.72,0.0,4.71,110.24,130.88,97.5
WL01,2023-05-29 00:00:00,267.72,0.0,4.93,107.9,134.58,96.93
WL01,2023-05-28 00:00:00,267.18,0.0,4.63,108.02,128.17,95.6
WL01,2023-05-27 00:00:00,264.26,0.0,4.59,106.67,133.84,96.76
WL01,2023-05-26 00:00:00,245.76,0.0,5.65,104.58,129.28,96.29
WL01,2023-05-25 00:00:00,229.37,0.0,5.91,102.12,130.51,95.68
WL01,2023-05-24 00:00:00,251.84,0.0,3.96,124.88,128.66,95.16
WL01,2023-05-23 00:00:00,258.64,0.0,1.42,117.99,124.71,96.34
WL01,2023-05-22 00:00:00,229.1,0.0,3.92,179.38,128.17,96.16
WL01,2023-05-21 00:00:00,244.02,0.0,5.65,103.47,129.4,95.43
WL01,2023-05-20 00:00:00,230.45,0.0,4.92,102.12,129.03,95.03
WL01,2023-05-19 00:00:00,218.33,0.0,5.71,105.19,126.44,100.64
WL01,2023-05-18 00:00:00,220.56,0.0,5.6,116.39,127.67,97.71
WL01,2023-05-17 00:00:00,213.21,0.0,5.35,110.0,127.0,97.85
WL01,2023-05-16 00:00:00,220.36,0.0,5.99,109.38,126.69,98.76
WL01,2023-05-15 00:00:00,230.77,0.0,5.92,102.98,125.58,97.2
WL01,2023-05-14 00:00:00,230.27,0.0,5.78,105.32,127.92,97.6
WL01,2023-05-13 00:00:00,229.81,0.0,6.01,101.87,123.97,97.07
WL01,2023-05-12 00:00:00,230.96,0.0,6.08,102.98,128.29,98.13
WL01,2023-05-11 00:00:00,232.76,0.0,6.4,107.53,124.59,97.33
WL01,2023-05-10 00:00:00,234.44,0.0,6.66,102.98,125.33,97.54
WL01,2023-05-09 00:00:00,238.08,0.0,6.8,101.62,126.07,95.75
WL01,2023-05-08 00:00:00,239.83,0.0,7.12,103.96,124.71,95.13
WL01,2023-05-07 00:00:00,239.48,0.0,7.73,109.38,125.58,93.91
WL01,2023-05-06 00:00:00,240.87,0.0,6.74,109.87,126.93,94.47
WL01,2023-05-05 00:00:00,250.65,0.0,6.81,97.81,136.55,98.08
WL01,2023-05-04 00:00:00,253.77,0.0,7.28,102.36,129.77,96.52
WL01,2023-05-03 00:00:00,260.46,0.0,7.03,120.2,131.25,98.8
WL01,2023-05-02 00:00:00,285.86,0.0,4.63,103.47,131.87,95.37
WL01,2023-05-01 00:00:00,305.97,0.0,4.23,132.63,134.95,96.43
WL01,2023-04-30 00:00:00,305.71,0.0,2.32,110.85,134.21,98.12
WL01,2023-04-29 00:00:00,211.51,0.0,7.46,116.51,155.3,97.05
WL01,2023-04-28 00:00:00,221.52,0.0,7.04,103.84,126.81,95.81
WL01,2023-04-27 00:00:00,245.79,0.0,6.77,103.72,128.29,95.51
WL01,2023-04-26 00:00:00,272.01,0.0,6.53,103.96,129.03,95.85
WL01,2023-04-25 00:00:00,288.53,0.0,5.73,105.81,132.98,94.79
WL01,2023-04-24 00:00:00,292.38,0.0,5.57,106.55,134.58,95.28
WL01,2023-04-23 00:00:00,292.2,0.0,5.65,104.95,136.43,95.3
WL01,2023-04-22 00:00:00,297.65,0.0,4.69,105.68,136.31,94.74
WL01,2023-04-21 00:00:00,292.54,0.0,4.59,103.22,138.77,94.0
WL01,2023-04-20 00:00:00,295.19,0.0,4.89,105.44,136.43,95.71
WL01,2023-04-19 00:00:00,294.1,0.0,4.83,132.01,138.53,94.96
WL01,2023-04-18 00:00:00,293.55,0.0,4.72,106.91,139.27,94.91
WL01,2023-04-17 00:00:00,305.58,0.0,2.77,106.79,139.64,94.65
