well_name,timestamp,gas_prod,oil_prod,water_prod,tubing_pressure,casing_pressure,line_pressure
WL02,2023-07-17 00:00:00,287.04,0.0,0.0,92.78,188.83,98.97
WL02,2023-07-16 00:00:00,281.72,0.0,0.0,171.04,177.59,98.77
WL02,2023-07-15 00:00:00,264.03,0.0,0.0,180.64,177.09,97.1
WL02,2023-07-14 00:00:00,267.49,0.0,0.0,183.84,173.17,109.06
WL02,2023-07-13 00:00:00,261.88,0.0,0.0,113.95,182.6,104.54
WL02,2023-07-12 00:00:00,254.6,0.0,0.0,87.86,206.63,104.03
WL02,2023-07-11 00:00:00,254.06,0.0,0.0,112.47,171.83,103.68
WL02,2023-07-10 00:00:00,252.66,0.0,0.0,91.06,174.97,108.46
WL02,2023-07-09 00:00:00,254.2,0.0,0.0,92.78,172.97,105.0
WL02,2023-07-08 00:00:00,254.57,0.0,0.0,90.32,174.21,104.01
WL02,2023-07-07 00:00:00,253.96,0.0,0.0,90.81,180.99,108.95
WL02,2023-07-06 00:00:00,252.4,0.0,0.0,96.23,172.87,104.47
WL02,2023-07-05 00:00:00,252.17,0.0,0.15,88.84,173.69,111.18
WL02,2023-07-04 00:00:00,251.82,0.0,0.0,88.84,177.89,102.46
WL02,2023-07-03 00:00:00,251.5,0.0,0.0,102.87,169.19,103.37
WL02,2023-07-02 00:00:00,262.08,0.0,0.0,86.38,170.04,100.6
WL02,2023-07-01 00:00:00,253.16,0.0,0.0,86.38,168.6,97.43
WL02,2023-06-30 00:00:00,236.81,0.0,0.0,85.4,169.32,100.16
WL02,2023-06-29 00:00:00,238.13,0.0,0.0,83.43,167.26,97.34
WL02,2023-06-28 00:00:00,235.72,0.0,0.0,83.92,170.45,80.88
WL02,2023-06-27 00:00:00,235.75,0.0,0.2,106.07,167.9,96.4
WL02,2023-06-26 00:00:00,235.35,0.0,0.0,81.71,169.57,95.92
WL02,2023-06-25 00:00:00,235.33,0.0,0.0,79.98,170.55,95.1
WL02,2023-06-24 00:00:00,232.52,0.0,0.0,79.74,164.8,94.0
WL02,2023-06-23 00:00:00,231.09,0.0,0.0,86.38,182.69,93.56
WL02,2023-06-22 00:00:00,233.01,0.0,0.0,98.69,167.72,77.63
WL02,2023-06-21 00:00:00,233.58,0.0,0.0,85.89,167.38,97.34
WL02,2023-06-20 00:00:00,237.63,0.0,0.0,81.95,169.29,97.16
WL02,2023-06-19 00:00:00,234.49,0.0,0.0,160.46,166.56,95.75
WL02,2023-06-18 00:00:00,233.17,0.0,0.0,80.48,169.68,95.15
WL02,2023-06-17 00:00:00,236.79,0.0,0.0,79.25,168.21,90.88
WL02,2023-06-16 00:00:00,235.0,0.0,0.0,80.72,164.34,67.48
WL02,2023-06-15 00:00:00,232.71,0.0,0.0,83.92,169.47,95.76
WL02,2023-06-14 00:00:00,234.0,0.0,0.0,78.75,167.13,95.6
WL02,2023-06-13 00:00:00,234.43,0.0,0.0,81.95,168.89,97.37
WL02,2023-06-12 00:00:00,237.02,0.0,0.0,82.94,171.97,98.87
WL02,2023-06-11 00:00:00,235.23,0.0,0.0,82.94,172.43,97.47
WL02,2023-06-10 00:00:00,234.45,0.0,0.0,83.68,167.0,97.54
WL02,2023-06-09 00:00:00,233.23,0.0,0.0,90.57,164.92,96.81
WL02,2023-06-08 00:00:00,233.98,0.0,0.0,80.23,169.31,95.09
WL02,2023-06-07 00:00:00,235.41,0.0,0.0,79.98,168.0,95.11
WL02,2023-06-06 00:00:00,233.36,0.0,0.0,80.72,164.66,96.73
WL02,2023-06-05 00:00:00,235.15,0.0,0.0,78.01,165.59,94.06
WL02,2023-06-04 00:00:00,234.84,0.0,0.0,151.35,187.24,95.02
WL02,2023-06-03 00:00:00,232.36,0.0,0.0,79.74,180.98,93.93
WL02,2023-06-02 00:00:00,237.11,0.0,0.0,84.41,168.72,93.75
WL02,2023-06-01 00:00:00,238.98,0.0,0.0,84.91,167.94,94.79
WL02,2023-05-31 00:00:00,242.72,0.0,0.05,95.98,166.15,88.81
